index,unti1_rgb,unit1_bbox,unit1_centers,unit1_beam_index,num_objects
50,./unit1/camera_data/image_BS1_5110_03_30_52.jpg,"[[658, 72, 772, 110]]","[0.7447916666666666, 0.1685185185185185, 0.11875, 0.07037037037037037]",47,1
51,./unit1/camera_data/image_BS1_4363_03_29_16.jpg,"[[700, 90, 861, 138]]","[0.8130208333333333, 0.2111111111111111, 0.16770833333333332, 0.08888888888888889]",48,1
52,./unit1/camera_data/image_BS1_5337_03_31_20.jpg,"[[4, 91, 164, 145]]","[0.0875, 0.21851851851851853, 0.16666666666666666, 0.1]",4,1
55,./unit1/camera_data/image_BS1_8633_03_38_24.jpg,"[[772, 91, 939, 142]]","[0.8911458333333333, 0.21574074074074073, 0.17395833333333333, 0.09444444444444444]",54,1
56,./unit1/camera_data/image_BS1_4074_03_28_39.jpg,"[[850, 71, 953, 107]]","[0.9390625, 0.1648148148148148, 0.10729166666666666, 0.06666666666666667]",57,1
57,./unit1/camera_data/image_BS1_4592_03_29_45.jpg,"[[705, 73, 819, 108]]","[0.79375, 0.1675925925925926, 0.11875, 0.06481481481481481]",48,1
58,./unit1/camera_data/image_BS1_639_03_21_19.jpg,"[[466, 91, 620, 141]]","[0.565625, 0.21481481481481482, 0.16041666666666668, 0.09259259259259259]",34,1
59,./unit1/camera_data/image_BS1_8617_03_38_22.jpg,"[[563, 90, 717, 142]]","[0.6666666666666666, 0.21481481481481482, 0.16041666666666668, 0.0962962962962963]",39,1
61,./unit1/camera_data/image_BS1_3903_03_28_17.jpg,"[[469, 91, 621, 140]]","[0.5677083333333334, 0.21388888888888888, 0.15833333333333333, 0.09074074074074075]",34,1
62,./unit1/camera_data/image_BS1_594_03_21_14.jpg,"[[162, 92, 325, 143]]","[0.25364583333333335, 0.2175925925925926, 0.16979166666666667, 0.09444444444444444]",14,1
63,./unit1/camera_data/image_BS1_2816_03_25_58.jpg,"[[783, 72, 896, 109]]","[0.8744791666666667, 0.1675925925925926, 0.11770833333333333, 0.06851851851851852]",55,1
64,./unit1/camera_data/image_BS1_6250_03_33_18.jpg,"[[557, 72, 652, 110]]","[0.6296875, 0.1685185185185185, 0.09895833333333333, 0.07037037037037037]",39,1
65,./unit1/camera_data/image_BS1_4895_03_30_24.jpg,"[[822, 88, 960, 138]]","[0.928125, 0.20925925925925926, 0.14375, 0.09259259259259259]",55,1
66,./unit1/camera_data/image_BS1_4609_03_29_47.jpg,"[[527, 74, 642, 113]]","[0.6088541666666667, 0.17314814814814813, 0.11979166666666667, 0.07222222222222222]",39,1
67,./unit1/camera_data/image_BS1_8624_03_38_23.jpg,"[[662, 90, 815, 140]]","[0.7692708333333333, 0.21296296296296297, 0.159375, 0.09259259259259259]",45,1
68,./unit1/camera_data/image_BS1_5355_03_31_23.jpg,"[[285, 92, 452, 144]]","[0.38385416666666666, 0.21851851851851853, 0.17395833333333333, 0.0962962962962963]",21,1
69,./unit1/camera_data/image_BS1_3629_03_27_42.jpg,"[[586, 72, 692, 111]]","[0.665625, 0.16944444444444445, 0.11041666666666666, 0.07222222222222222]",39,1
70,./unit1/camera_data/image_BS1_2811_03_25_57.jpg,"[[836, 72, 956, 107]]","[0.9333333333333333, 0.16574074074074074, 0.125, 0.06481481481481481]",57,1
72,./unit1/camera_data/image_BS1_5097_03_30_50.jpg,"[[818, 71, 942, 108]]","[0.9166666666666666, 0.16574074074074074, 0.12916666666666668, 0.06851851851851852]",56,1
73,./unit1/camera_data/image_BS1_3357_03_27_07.jpg,"[[463, 92, 613, 143]]","[0.5604166666666667, 0.2175925925925926, 0.15625, 0.09444444444444444]",34,1
74,./unit1/camera_data/image_BS1_2269_03_24_48.jpg,"[[636, 72, 748, 111]]","[0.7208333333333333, 0.16944444444444445, 0.11666666666666667, 0.07222222222222222]",45,1
75,./unit1/camera_data/image_BS1_7417_03_35_47.jpg,"[[592, 72, 706, 110]]","[0.6760416666666667, 0.1685185185185185, 0.11875, 0.07037037037037037]",43,1
76,./unit1/camera_data/image_BS1_5889_03_32_31.jpg,"[[1, 82, 117, 136]]","[0.06145833333333333, 0.20185185185185187, 0.12083333333333333, 0.1]",3,1
77,./unit1/camera_data/image_BS1_1301_03_22_45.jpg,"[[606, 90, 755, 140]]","[0.7088541666666667, 0.21296296296296297, 0.15520833333333334, 0.09259259259259259]",43,1
80,./unit1/camera_data/image_BS1_5395_03_31_28.jpg,"[[835, 86, 960, 135]]","[0.9348958333333334, 0.20462962962962963, 0.13020833333333334, 0.09074074074074075]",59,1
82,./unit1/camera_data/image_BS1_4836_03_30_17.jpg,"[[414, 90, 567, 139]]","[0.5109375, 0.21203703703703702, 0.159375, 0.09074074074074075]",29,1
83,./unit1/camera_data/image_BS1_5154_03_30_57.jpg,"[[132, 77, 245, 118]]","[0.19635416666666666, 0.18055555555555555, 0.11770833333333333, 0.07592592592592592]",11,1
85,./unit1/camera_data/image_BS1_9495_03_40_17.jpg,"[[310, 89, 450, 135]]","[0.3958333333333333, 0.2074074074074074, 0.14583333333333334, 0.08518518518518518]",21,1
86,./unit1/camera_data/image_BS1_2049_03_24_20.jpg,"[[765, 88, 930, 139]]","[0.8828125, 0.2101851851851852, 0.171875, 0.09444444444444444]",53,1
87,./unit1/camera_data/image_BS1_6505_03_33_50.jpg,"[[412, 91, 567, 144]]","[0.5098958333333333, 0.2175925925925926, 0.16145833333333334, 0.09814814814814815]",29,1
88,./unit1/camera_data/image_BS1_2576_03_25_27.jpg,"[[456, 90, 607, 141]]","[0.5536458333333333, 0.21388888888888888, 0.15729166666666666, 0.09444444444444444]",33,1
89,./unit1/camera_data/image_BS1_8577_03_38_17.jpg,"[[3, 86, 122, 134]]","[0.06510416666666667, 0.2037037037037037, 0.12395833333333334, 0.08888888888888889]",4,1
90,./unit1/camera_data/image_BS1_8055_03_37_09.jpg,"[[822, 72, 940, 107]]","[0.9177083333333333, 0.16574074074074074, 0.12291666666666666, 0.06481481481481481]",55,1
91,./unit1/camera_data/image_BS1_317_03_20_38.jpg,"[[458, 72, 568, 112]]","[0.534375, 0.17037037037037037, 0.11458333333333333, 0.07407407407407407]",34,1
92,./unit1/camera_data/image_BS1_3605_03_27_39.jpg,"[[823, 72, 946, 108]]","[0.9213541666666667, 0.16666666666666666, 0.128125, 0.06666666666666667]",58,1
93,./unit1/camera_data/image_BS1_4343_03_29_13.jpg,"[[431, 90, 581, 141]]","[0.5270833333333333, 0.21388888888888888, 0.15625, 0.09444444444444444]",30,1
94,./unit1/camera_data/image_BS1_2262_03_24_47.jpg,"[[732, 72, 847, 109]]","[0.8223958333333333, 0.1675925925925926, 0.11979166666666667, 0.06851851851851852]",51,1
95,./unit1/camera_data/image_BS1_2277_03_24_49.jpg,"[[523, 75, 640, 112]]","[0.6057291666666667, 0.17314814814814813, 0.121875, 0.06851851851851852]",37,1
96,./unit1/camera_data/image_BS1_8089_03_37_14.jpg,"[[497, 71, 617, 113]]","[0.5802083333333333, 0.17037037037037037, 0.125, 0.07777777777777778]",37,1
97,./unit1/camera_data/image_BS1_4588_03_29_45.jpg,"[[739, 71, 860, 109]]","[0.8328125, 0.16666666666666666, 0.12604166666666666, 0.07037037037037037]",52,1
98,./unit1/camera_data/image_BS1_3900_03_28_17.jpg,"[[431, 90, 582, 140]]","[0.5276041666666667, 0.21296296296296297, 0.15729166666666666, 0.09259259259259259]",31,1
99,./unit1/camera_data/image_BS1_6488_03_33_48.jpg,"[[245, 92, 406, 144]]","[0.3390625, 0.21851851851851853, 0.16770833333333332, 0.0962962962962963]",17,1
100,./unit1/camera_data/image_BS1_2047_03_24_20.jpg,"[[732, 90, 895, 138]]","[0.8473958333333333, 0.2111111111111111, 0.16979166666666667, 0.08888888888888889]",52,1
101,./unit1/camera_data/image_BS1_5899_03_32_33.jpg,"[[95, 90, 259, 144]]","[0.184375, 0.21666666666666667, 0.17083333333333334, 0.1]",9,1
102,./unit1/camera_data/image_BS1_2866_03_26_04.jpg,"[[241, 83, 414, 140]]","[0.3411458333333333, 0.2064814814814815, 0.18020833333333333, 0.10555555555555556]",21,1
103,./unit1/camera_data/image_BS1_5123_03_30_53.jpg,"[[490, 71, 607, 112]]","[0.5713541666666667, 0.16944444444444445, 0.121875, 0.07592592592592592]",38,1
105,./unit1/camera_data/image_BS1_8064_03_37_10.jpg,"[[740, 72, 858, 109]]","[0.8322916666666667, 0.1675925925925926, 0.12291666666666666, 0.06851851851851852]",52,1
106,./unit1/camera_data/image_BS1_7412_03_35_47.jpg,"[[684, 72, 795, 109]]","[0.7703125, 0.1675925925925926, 0.115625, 0.06851851851851852]",48,1
107,./unit1/camera_data/image_BS1_3651_03_27_45.jpg,"[[291, 76, 413, 113]]","[0.36666666666666664, 0.175, 0.12708333333333333, 0.06851851851851852]",22,1
108,./unit1/camera_data/image_BS1_6827_03_34_32.jpg,"[[518, 74, 640, 112]]","[0.603125, 0.17222222222222222, 0.12708333333333333, 0.07037037037037037]",38,1
109,./unit1/camera_data/image_BS1_6831_03_34_32.jpg,"[[461, 72, 575, 113]]","[0.5395833333333333, 0.1712962962962963, 0.11875, 0.07592592592592592]",32,1
110,./unit1/camera_data/image_BS1_6816_03_34_30.jpg,"[[676, 73, 785, 109]]","[0.7609375, 0.1685185185185185, 0.11354166666666667, 0.06666666666666667]",48,1
112,./unit1/camera_data/image_BS1_1000_03_22_06.jpg,"[[729, 73, 853, 110]]","[0.8239583333333333, 0.16944444444444445, 0.12916666666666668, 0.06851851851851852]",51,1
114,./unit1/camera_data/image_BS1_7410_03_35_46.jpg,"[[711, 73, 824, 109]]","[0.7994791666666666, 0.1685185185185185, 0.11770833333333333, 0.06666666666666667]",49,1
115,./unit1/camera_data/image_BS1_2286_03_24_50.jpg,"[[389, 72, 504, 112]]","[0.46510416666666665, 0.17037037037037037, 0.11979166666666667, 0.07407407407407407]",29,1
116,./unit1/camera_data/image_BS1_358_03_20_44.jpg,"[[20, 77, 138, 114]]","[0.08229166666666667, 0.17685185185185184, 0.12291666666666666, 0.06851851851851852]",4,1
117,./unit1/camera_data/image_BS1_6515_03_33_52.jpg,"[[494, 91, 649, 143]]","[0.5953125, 0.21666666666666667, 0.16145833333333334, 0.0962962962962963]",34,1
118,./unit1/camera_data/image_BS1_8127_03_37_18.jpg,"[[3, 69, 89, 115]]","[0.04791666666666667, 0.17037037037037037, 0.08958333333333333, 0.08518518518518518]",3,1
120,./unit1/camera_data/image_BS1_2025_03_24_17.jpg,"[[322, 92, 479, 142]]","[0.4171875, 0.21666666666666667, 0.16354166666666667, 0.09259259259259259]",23,1
121,./unit1/camera_data/image_BS1_2523_03_25_21.jpg,"[[87, 91, 254, 143]]","[0.17760416666666667, 0.21666666666666667, 0.17395833333333333, 0.0962962962962963]",11,1
122,./unit1/camera_data/image_BS1_9531_03_40_21.jpg,"[[713, 93, 882, 147]]","[0.8307291666666666, 0.2222222222222222, 0.17604166666666668, 0.1]",49,1
123,./unit1/camera_data/image_BS1_3339_03_27_05.jpg,"[[244, 91, 405, 143]]","[0.3380208333333333, 0.21666666666666667, 0.16770833333333332, 0.0962962962962963]",17,1
124,./unit1/camera_data/image_BS1_7833_03_36_41.jpg,"[[343, 90, 500, 142]]","[0.4390625, 0.21481481481481482, 0.16354166666666667, 0.0962962962962963]",23,1
125,./unit1/camera_data/image_BS1_4360_03_29_15.jpg,"[[663, 88, 819, 138]]","[0.771875, 0.20925925925925926, 0.1625, 0.09259259259259259]",48,1
126,./unit1/camera_data/image_BS1_2031_03_24_18.jpg,"[[434, 92, 590, 141]]","[0.5333333333333333, 0.21574074074074073, 0.1625, 0.09074074074074075]",31,1
127,./unit1/camera_data/image_BS1_2057_03_24_21.jpg,"[[877, 83, 960, 133]]","[0.9567708333333333, 0.2, 0.08645833333333333, 0.09259259259259259]",60,1
128,./unit1/camera_data/image_BS1_7832_03_36_41.jpg,"[[327, 91, 484, 141]]","[0.42239583333333336, 0.21481481481481482, 0.16354166666666667, 0.09259259259259259]",23,1
129,./unit1/camera_data/image_BS1_648_03_21_21.jpg,"[[551, 90, 699, 142]]","[0.6510416666666666, 0.21481481481481482, 0.15416666666666667, 0.0962962962962963]",39,1
130,./unit1/camera_data/image_BS1_6266_03_33_20.jpg,"[[337, 74, 458, 111]]","[0.4140625, 0.1712962962962963, 0.12604166666666666, 0.06851851851851852]",24,1
131,./unit1/camera_data/image_BS1_6535_03_33_54.jpg,"[[659, 89, 818, 141]]","[0.7692708333333333, 0.21296296296296297, 0.165625, 0.0962962962962963]",48,1
132,./unit1/camera_data/image_BS1_2033_03_24_18.jpg,"[[467, 92, 622, 141]]","[0.5671875, 0.21574074074074073, 0.16145833333333334, 0.09074074074074075]",34,1
134,./unit1/camera_data/image_BS1_2278_03_24_49.jpg,"[[500, 71, 619, 112]]","[0.5828125, 0.16944444444444445, 0.12395833333333334, 0.07592592592592592]",37,1
135,./unit1/camera_data/image_BS1_9516_03_40_19.jpg,"[[524, 90, 680, 143]]","[0.6270833333333333, 0.21574074074074073, 0.1625, 0.09814814814814815]",38,1
136,./unit1/camera_data/image_BS1_2288_03_24_51.jpg,"[[360, 73, 476, 113]]","[0.4354166666666667, 0.17222222222222222, 0.12083333333333333, 0.07407407407407407]",26,1
137,./unit1/camera_data/image_BS1_1302_03_22_45.jpg,"[[617, 91, 771, 139]]","[0.7229166666666667, 0.21296296296296297, 0.16041666666666668, 0.08888888888888889]",46,1
138,./unit1/camera_data/image_BS1_6516_03_33_52.jpg,"[[500, 90, 658, 144]]","[0.603125, 0.21666666666666667, 0.16458333333333333, 0.1]",37,1
139,./unit1/camera_data/image_BS1_2040_03_24_19.jpg,"[[605, 90, 757, 139]]","[0.709375, 0.21203703703703702, 0.15833333333333333, 0.09074074074074075]",43,1
140,./unit1/camera_data/image_BS1_6234_03_33_16.jpg,"[[750, 71, 867, 109]]","[0.8421875, 0.16666666666666666, 0.121875, 0.07037037037037037]",52,1
141,./unit1/camera_data/image_BS1_5111_03_30_52.jpg,"[[639, 72, 759, 111]]","[0.728125, 0.16944444444444445, 0.125, 0.07222222222222222]",45,1
142,./unit1/camera_data/image_BS1_2841_03_26_01.jpg,"[[496, 72, 606, 112]]","[0.5739583333333333, 0.17037037037037037, 0.11458333333333333, 0.07407407407407407]",37,1
143,./unit1/camera_data/image_BS1_4346_03_29_14.jpg,"[[467, 90, 622, 141]]","[0.5671875, 0.21388888888888888, 0.16145833333333334, 0.09444444444444444]",34,1
144,./unit1/camera_data/image_BS1_1043_03_22_12.jpg,"[[270, 74, 390, 113]]","[0.34375, 0.17314814814814813, 0.125, 0.07222222222222222]",21,1
145,./unit1/camera_data/image_BS1_6852_03_34_35.jpg,"[[142, 76, 242, 116]]","[0.2, 0.17777777777777778, 0.10416666666666667, 0.07407407407407407]",8,1
146,./unit1/camera_data/image_BS1_6494_03_33_49.jpg,"[[314, 91, 472, 142]]","[0.409375, 0.21574074074074073, 0.16458333333333333, 0.09444444444444444]",22,1
147,./unit1/camera_data/image_BS1_656_03_21_22.jpg,"[[619, 89, 776, 140]]","[0.7265625, 0.21203703703703702, 0.16354166666666667, 0.09444444444444444]",44,1
148,./unit1/camera_data/image_BS1_3882_03_28_14.jpg,"[[213, 90, 369, 142]]","[0.303125, 0.21481481481481482, 0.1625, 0.0962962962962963]",17,1
149,./unit1/camera_data/image_BS1_5094_03_30_49.jpg,"[[849, 71, 956, 107]]","[0.9401041666666666, 0.1648148148148148, 0.11145833333333334, 0.06666666666666667]",58,1
151,./unit1/camera_data/image_BS1_5368_03_31_25.jpg,"[[475, 93, 635, 146]]","[0.578125, 0.2212962962962963, 0.16666666666666666, 0.09814814814814815]",34,1
152,./unit1/camera_data/image_BS1_3907_03_28_17.jpg,"[[532, 89, 681, 139]]","[0.6317708333333333, 0.2111111111111111, 0.15520833333333334, 0.09259259259259259]",38,1
153,./unit1/camera_data/image_BS1_4325_03_29_11.jpg,"[[157, 91, 320, 143]]","[0.2484375, 0.21666666666666667, 0.16979166666666667, 0.0962962962962963]",12,1
154,./unit1/camera_data/image_BS1_1319_03_22_47.jpg,"[[868, 82, 960, 133]]","[0.9520833333333333, 0.19907407407407407, 0.09583333333333334, 0.09444444444444444]",59,1
155,./unit1/camera_data/image_BS1_4844_03_30_18.jpg,"[[457, 89, 608, 140]]","[0.5546875, 0.21203703703703702, 0.15729166666666666, 0.09444444444444444]",33,1
156,./unit1/camera_data/image_BS1_3917_03_28_19.jpg,"[[672, 88, 828, 138]]","[0.78125, 0.20925925925925926, 0.1625, 0.09259259259259259]",46,1
157,./unit1/camera_data/image_BS1_6478_03_33_47.jpg,"[[107, 90, 276, 145]]","[0.19947916666666668, 0.2175925925925926, 0.17604166666666668, 0.10185185185185185]",11,1
158,./unit1/camera_data/image_BS1_332_03_20_40.jpg,"[[325, 74, 448, 113]]","[0.40260416666666665, 0.17314814814814813, 0.128125, 0.07222222222222222]",25,1
159,./unit1/camera_data/image_BS1_3864_03_28_12.jpg,"[[1, 87, 105, 138]]","[0.05520833333333333, 0.20833333333333334, 0.10833333333333334, 0.09444444444444444]",2,1
161,./unit1/camera_data/image_BS1_3908_03_28_18.jpg,"[[553, 90, 701, 140]]","[0.653125, 0.21296296296296297, 0.15416666666666667, 0.09259259259259259]",39,1
162,./unit1/camera_data/image_BS1_8128_03_37_19.jpg,"[[0, 66, 80, 115]]","[0.041666666666666664, 0.1675925925925926, 0.08333333333333333, 0.09074074074074075]",2,1
163,./unit1/camera_data/image_BS1_4813_03_30_14.jpg,"[[272, 90, 426, 140]]","[0.36354166666666665, 0.21296296296296297, 0.16041666666666668, 0.09259259259259259]",20,1
165,./unit1/camera_data/image_BS1_7820_03_36_39.jpg,"[[155, 86, 305, 141]]","[0.23958333333333334, 0.2101851851851852, 0.15625, 0.10185185185185185]",13,1
166,./unit1/camera_data/image_BS1_3672_03_27_47.jpg,"[[2, 73, 103, 116]]","[0.0546875, 0.175, 0.10520833333333333, 0.07962962962962963]",3,1
167,./unit1/camera_data/image_BS1_6799_03_34_28.jpg,"[[877, 72, 952, 109]]","[0.9526041666666667, 0.1675925925925926, 0.078125, 0.06851851851851852]",60,1
168,./unit1/camera_data/image_BS1_3348_03_27_06.jpg,"[[356, 90, 509, 142]]","[0.4505208333333333, 0.21481481481481482, 0.159375, 0.0962962962962963]",26,1
169,./unit1/camera_data/image_BS1_8111_03_37_16.jpg,"[[205, 77, 330, 114]]","[0.2786458333333333, 0.17685185185185184, 0.13020833333333334, 0.06851851851851852]",16,1
170,./unit1/camera_data/image_BS1_9522_03_40_20.jpg,"[[605, 93, 759, 144]]","[0.7104166666666667, 0.21944444444444444, 0.16041666666666668, 0.09444444444444444]",43,1
171,./unit1/camera_data/image_BS1_3914_03_28_18.jpg,"[[631, 89, 784, 139]]","[0.7369791666666666, 0.2111111111111111, 0.159375, 0.09259259259259259]",46,1
172,./unit1/camera_data/image_BS1_617_03_21_17.jpg,"[[316, 91, 475, 142]]","[0.4119791666666667, 0.21574074074074073, 0.165625, 0.09444444444444444]",22,1
173,./unit1/camera_data/image_BS1_6477_03_33_47.jpg,"[[93, 92, 262, 144]]","[0.18489583333333334, 0.21851851851851853, 0.17604166666666668, 0.0962962962962963]",11,1
174,./unit1/camera_data/image_BS1_9479_03_40_15.jpg,"[[126, 81, 260, 125]]","[0.20104166666666667, 0.19074074074074074, 0.13958333333333334, 0.08148148148148149]",11,1
175,./unit1/camera_data/image_BS1_6843_03_34_34.jpg,"[[257, 75, 380, 114]]","[0.33177083333333335, 0.175, 0.128125, 0.07222222222222222]",19,1
