index,unit1_mask,unit1_beam_index
241,./resources/mobilenet_mask/image_BS1_992_03_22_05.jpg,55
242,./resources/mobilenet_mask/image_BS1_9894_03_41_08.jpg,29
243,./resources/mobilenet_mask/image_BS1_309_03_20_37.jpg,38
244,./resources/mobilenet_mask/image_BS1_2559_03_25_25.jpg,26
245,./resources/mobilenet_mask/image_BS1_5957_03_32_40.jpg,58
246,./resources/mobilenet_mask/image_BS1_2843_03_26_02.jpg,34
247,./resources/mobilenet_mask/image_BS1_8112_03_37_16.jpg,14
248,./resources/mobilenet_mask/image_BS1_1267_03_22_40.jpg,11
249,./resources/mobilenet_mask/image_BS1_4576_03_29_43.jpg,58
250,./resources/mobilenet_mask/image_BS1_1007_03_22_07.jpg,47
251,./resources/mobilenet_mask/image_BS1_7814_03_36_38.jpg,6
252,./resources/mobilenet_mask/image_BS1_2043_03_24_19.jpg,47
253,./resources/mobilenet_mask/image_BS1_1285_03_22_43.jpg,27
254,./resources/mobilenet_mask/image_BS1_9853_03_41_03.jpg,55
255,./resources/mobilenet_mask/image_BS1_6858_03_34_36.jpg,6
256,./resources/mobilenet_mask/image_BS1_8068_03_37_11.jpg,49
258,./resources/mobilenet_mask/image_BS1_5137_03_30_55.jpg,23
259,./resources/mobilenet_mask/image_BS1_6253_03_33_18.jpg,37
260,./resources/mobilenet_mask/image_BS1_278_03_20_33.jpg,51
261,./resources/mobilenet_mask/image_BS1_9289_03_39_50.jpg,29
263,./resources/mobilenet_mask/image_BS1_4379_03_29_18.jpg,59
264,./resources/mobilenet_mask/image_BS1_3648_03_27_44.jpg,23
265,./resources/mobilenet_mask/image_BS1_3659_03_27_46.jpg,14
266,./resources/mobilenet_mask/image_BS1_338_03_20_41.jpg,20
267,./resources/mobilenet_mask/image_BS1_7861_03_36_44.jpg,52
268,./resources/mobilenet_mask/image_BS1_2549_03_25_24.jpg,21
269,./resources/mobilenet_mask/image_BS1_8046_03_37_08.jpg,59
271,./resources/mobilenet_mask/image_BS1_4089_03_28_41.jpg,47
272,./resources/mobilenet_mask/image_BS1_628_03_21_18.jpg,27
274,./resources/mobilenet_mask/image_BS1_5927_03_32_36.jpg,34
275,./resources/mobilenet_mask/image_BS1_4610_03_29_48.jpg,37
277,./resources/mobilenet_mask/image_BS1_5947_03_32_39.jpg,51
278,./resources/mobilenet_mask/image_BS1_2522_03_25_21.jpg,7
279,./resources/mobilenet_mask/image_BS1_9293_03_39_51.jpg,23
280,./resources/mobilenet_mask/image_BS1_5890_03_32_31.jpg,4
281,./resources/mobilenet_mask/image_BS1_4090_03_28_41.jpg,46
282,./resources/mobilenet_mask/image_BS1_3656_03_27_45.jpg,17
283,./resources/mobilenet_mask/image_BS1_9918_03_41_11.jpg,8
284,./resources/mobilenet_mask/image_BS1_6853_03_34_35.jpg,9
285,./resources/mobilenet_mask/image_BS1_983_03_22_04.jpg,59
286,./resources/mobilenet_mask/image_BS1_595_03_21_14.jpg,13
287,./resources/mobilenet_mask/image_BS1_285_03_20_34.jpg,49
289,./resources/mobilenet_mask/image_BS1_4804_03_30_12.jpg,14
290,./resources/mobilenet_mask/image_BS1_3360_03_27_08.jpg,37
291,./resources/mobilenet_mask/image_BS1_5944_03_32_38.jpg,49
292,./resources/mobilenet_mask/image_BS1_652_03_21_21.jpg,42
293,./resources/mobilenet_mask/image_BS1_1042_03_22_11.jpg,20
294,./resources/mobilenet_mask/image_BS1_9272_03_39_48.jpg,48
295,./resources/mobilenet_mask/image_BS1_4372_03_29_17.jpg,56
296,./resources/mobilenet_mask/image_BS1_6260_03_33_19.jpg,33
298,./resources/mobilenet_mask/image_BS1_2284_03_24_50.jpg,29
299,./resources/mobilenet_mask/image_BS1_588_03_21_13.jpg,11
300,./resources/mobilenet_mask/image_BS1_2820_03_25_59.jpg,51
301,./resources/mobilenet_mask/image_BS1_985_03_22_04.jpg,59
302,./resources/mobilenet_mask/image_BS1_6240_03_33_16.jpg,46
303,./resources/mobilenet_mask/image_BS1_4577_03_29_43.jpg,57
304,./resources/mobilenet_mask/image_BS1_5375_03_31_25.jpg,42
305,./resources/mobilenet_mask/image_BS1_9314_03_39_53.jpg,4
306,./resources/mobilenet_mask/image_BS1_637_03_21_19.jpg,33
307,./resources/mobilenet_mask/image_BS1_6228_03_33_15.jpg,57
308,./resources/mobilenet_mask/image_BS1_6232_03_33_15.jpg,54
309,./resources/mobilenet_mask/image_BS1_3618_03_27_41.jpg,49
310,./resources/mobilenet_mask/image_BS1_644_03_21_20.jpg,37
311,./resources/mobilenet_mask/image_BS1_6275_03_33_21.jpg,17
312,./resources/mobilenet_mask/image_BS1_9274_03_39_48.jpg,47
313,./resources/mobilenet_mask/image_BS1_3921_03_28_19.jpg,51
314,./resources/mobilenet_mask/image_BS1_5160_03_30_58.jpg,5
315,./resources/mobilenet_mask/image_BS1_1051_03_22_13.jpg,15
316,./resources/mobilenet_mask/image_BS1_2547_03_25_24.jpg,20
317,./resources/mobilenet_mask/image_BS1_3393_03_27_12.jpg,55
318,./resources/mobilenet_mask/image_BS1_6225_03_33_14.jpg,59
319,./resources/mobilenet_mask/image_BS1_8600_03_38_20.jpg,23
320,./resources/mobilenet_mask/image_BS1_7864_03_36_45.jpg,55
321,./resources/mobilenet_mask/image_BS1_9911_03_41_11.jpg,14
322,./resources/mobilenet_mask/image_BS1_6481_03_33_47.jpg,13
323,./resources/mobilenet_mask/image_BS1_638_03_21_19.jpg,34
324,./resources/mobilenet_mask/image_BS1_5106_03_30_51.jpg,48
326,./resources/mobilenet_mask/image_BS1_4084_03_28_40.jpg,52
327,./resources/mobilenet_mask/image_BS1_5932_03_32_37.jpg,39
328,./resources/mobilenet_mask/image_BS1_4848_03_30_18.jpg,34
329,./resources/mobilenet_mask/image_BS1_8581_03_38_17.jpg,6
330,./resources/mobilenet_mask/image_BS1_4623_03_29_49.jpg,26
331,./resources/mobilenet_mask/image_BS1_2539_03_25_23.jpg,17
332,./resources/mobilenet_mask/image_BS1_3902_03_28_17.jpg,32
333,./resources/mobilenet_mask/image_BS1_2019_03_24_16.jpg,17
334,./resources/mobilenet_mask/image_BS1_2050_03_24_20.jpg,54
335,./resources/mobilenet_mask/image_BS1_9525_03_40_21.jpg,45
336,./resources/mobilenet_mask/image_BS1_7868_03_36_45.jpg,57
337,./resources/mobilenet_mask/image_BS1_4342_03_29_13.jpg,29
339,./resources/mobilenet_mask/image_BS1_5130_03_30_54.jpg,29
340,./resources/mobilenet_mask/image_BS1_3630_03_27_42.jpg,42
341,./resources/mobilenet_mask/image_BS1_4606_03_29_47.jpg,39
342,./resources/mobilenet_mask/image_BS1_2266_03_24_48.jpg,47
343,./resources/mobilenet_mask/image_BS1_5373_03_31_25.jpg,39
345,./resources/mobilenet_mask/image_BS1_2250_03_24_46.jpg,59
346,./resources/mobilenet_mask/image_BS1_5365_03_31_24.jpg,32
347,./resources/mobilenet_mask/image_BS1_663_03_21_22.jpg,48
348,./resources/mobilenet_mask/image_BS1_634_03_21_19.jpg,29
349,./resources/mobilenet_mask/image_BS1_9912_03_41_11.jpg,13
350,./resources/mobilenet_mask/image_BS1_580_03_21_12.jpg,6
351,./resources/mobilenet_mask/image_BS1_1036_03_22_11.jpg,26
352,./resources/mobilenet_mask/image_BS1_2849_03_26_02.jpg,29
353,./resources/mobilenet_mask/image_BS1_9300_03_39_52.jpg,17
355,./resources/mobilenet_mask/image_BS1_3645_03_27_44.jpg,27
356,./resources/mobilenet_mask/image_BS1_2509_03_25_19.jpg,3
357,./resources/mobilenet_mask/image_BS1_1028_03_22_10.jpg,34
358,./resources/mobilenet_mask/image_BS1_2850_03_26_02.jpg,29
359,./resources/mobilenet_mask/image_BS1_2585_03_25_29.jpg,37
360,./resources/mobilenet_mask/image_BS1_5116_03_30_52.jpg,42
361,./resources/mobilenet_mask/image_BS1_2255_03_24_47.jpg,55
364,./resources/mobilenet_mask/image_BS1_6497_03_33_49.jpg,23
366,./resources/mobilenet_mask/image_BS1_5112_03_30_52.jpg,44
367,./resources/mobilenet_mask/image_BS1_6817_03_34_30.jpg,46
368,./resources/mobilenet_mask/image_BS1_7414_03_35_47.jpg,45
369,./resources/mobilenet_mask/image_BS1_9286_03_39_50.jpg,33
370,./resources/mobilenet_mask/image_BS1_7454_03_35_52.jpg,2
371,./resources/mobilenet_mask/image_BS1_3884_03_28_14.jpg,17
372,./resources/mobilenet_mask/image_BS1_623_03_21_17.jpg,26
373,./resources/mobilenet_mask/image_BS1_5349_03_31_22.jpg,16
374,./resources/mobilenet_mask/image_BS1_6824_03_34_31.jpg,39
375,./resources/mobilenet_mask/image_BS1_9273_03_39_48.jpg,46
376,./resources/mobilenet_mask/image_BS1_2039_03_24_19.jpg,43
377,./resources/mobilenet_mask/image_BS1_8603_03_38_20.jpg,27
378,./resources/mobilenet_mask/image_BS1_2857_03_26_03.jpg,27
380,./resources/mobilenet_mask/image_BS1_5334_03_31_20.jpg,3
381,./resources/mobilenet_mask/image_BS1_6528_03_33_53.jpg,42
382,./resources/mobilenet_mask/image_BS1_8084_03_37_13.jpg,39
383,./resources/mobilenet_mask/image_BS1_4648_03_29_52.jpg,6
384,./resources/mobilenet_mask/image_BS1_3358_03_27_08.jpg,32
386,./resources/mobilenet_mask/image_BS1_2292_03_24_51.jpg,22
387,./resources/mobilenet_mask/image_BS1_6237_03_33_16.jpg,52
388,./resources/mobilenet_mask/image_BS1_6288_03_33_23.jpg,6
389,./resources/mobilenet_mask/image_BS1_5135_03_30_55.jpg,26
390,./resources/mobilenet_mask/image_BS1_5893_03_32_32.jpg,4
391,./resources/mobilenet_mask/image_BS1_5384_03_31_27.jpg,49
392,./resources/mobilenet_mask/image_BS1_1259_03_22_39.jpg,4
393,./resources/mobilenet_mask/image_BS1_2055_03_24_21.jpg,59
394,./resources/mobilenet_mask/image_BS1_1309_03_22_46.jpg,49
395,./resources/mobilenet_mask/image_BS1_5381_03_31_26.jpg,47
396,./resources/mobilenet_mask/image_BS1_7455_03_35_52.jpg,2
397,./resources/mobilenet_mask/image_BS1_3365_03_27_08.jpg,39
398,./resources/mobilenet_mask/image_BS1_1050_03_22_12.jpg,14
399,./resources/mobilenet_mask/image_BS1_9311_03_39_53.jpg,7
400,./resources/mobilenet_mask/image_BS1_991_03_22_05.jpg,55
401,./resources/mobilenet_mask/image_BS1_361_03_20_44.jpg,4
402,./resources/mobilenet_mask/image_BS1_5356_03_31_23.jpg,22
403,./resources/mobilenet_mask/image_BS1_1034_03_22_10.jpg,29
404,./resources/mobilenet_mask/image_BS1_1289_03_22_43.jpg,30
405,./resources/mobilenet_mask/image_BS1_2527_03_25_21.jpg,11
406,./resources/mobilenet_mask/image_BS1_5901_03_32_33.jpg,11
407,./resources/mobilenet_mask/image_BS1_2591_03_25_29.jpg,39
409,./resources/mobilenet_mask/image_BS1_4582_03_29_44.jpg,55
410,./resources/mobilenet_mask/image_BS1_4324_03_29_11.jpg,11
411,./resources/mobilenet_mask/image_BS1_3868_03_28_12.jpg,4
412,./resources/mobilenet_mask/image_BS1_3876_03_28_13.jpg,11
413,./resources/mobilenet_mask/image_BS1_584_03_21_12.jpg,8
414,./resources/mobilenet_mask/image_BS1_8119_03_37_17.jpg,8
415,./resources/mobilenet_mask/image_BS1_645_03_21_20.jpg,39
417,./resources/mobilenet_mask/image_BS1_6523_03_33_53.jpg,39
418,./resources/mobilenet_mask/image_BS1_9922_03_41_12.jpg,6
419,./resources/mobilenet_mask/image_BS1_5340_03_31_21.jpg,7
420,./resources/mobilenet_mask/image_BS1_3326_03_27_03.jpg,7
421,./resources/mobilenet_mask/image_BS1_7859_03_36_44.jpg,51
422,./resources/mobilenet_mask/image_BS1_2812_03_25_58.jpg,55
423,./resources/mobilenet_mask/image_BS1_326_03_20_39.jpg,28
424,./resources/mobilenet_mask/image_BS1_6559_03_33_57.jpg,60
425,./resources/mobilenet_mask/image_BS1_1288_03_22_43.jpg,29
426,./resources/mobilenet_mask/image_BS1_4595_03_29_46.jpg,47
428,./resources/mobilenet_mask/image_BS1_4642_03_29_52.jpg,11
429,./resources/mobilenet_mask/image_BS1_6239_03_33_16.jpg,48
430,./resources/mobilenet_mask/image_BS1_4368_03_29_16.jpg,52
432,./resources/mobilenet_mask/image_BS1_310_03_20_37.jpg,37
433,./resources/mobilenet_mask/image_BS1_9520_03_40_20.jpg,42
434,./resources/mobilenet_mask/image_BS1_3349_03_27_06.jpg,27
435,./resources/mobilenet_mask/image_BS1_4138_03_28_47.jpg,2
